Ano;Grupo CID-10;Faixa Etária;Valor
2016;Doenças infecciosas intestinais;Menor 1 ano;5
2016;Tuberculose;Menor 1 ano;-
2016;Algumas doenças bacterianas zoonóticas;Menor 1 ano;-
2016;Outras doenças bacterianas;Menor 1 ano;6
2016;Infecções de transmissão predominantemente sexual;Menor 1 ano;1
2016;Infecções virais do sistema nervoso central;Menor 1 ano;-
2016;Febres por arbovírus e febres hemorrágicas virais;Menor 1 ano;1
2016;Infecções virais caract p/lesões de pele e mucosas;Menor 1 ano;-
2016;Hepatite viral;Menor 1 ano;-
2016;Doença pelo vírus da imunodeficiência humana [HIV];Menor 1 ano;1
2016;Outras doenças por vírus;Menor 1 ano;-
2016;Micoses;Menor 1 ano;1
2016;Doenças devidas a protozoários;Menor 1 ano;-
2016;Helmintíases;Menor 1 ano;-
2016;Seqüelas de doenças infecciosas e parasitárias;Menor 1 ano;-
2016;Outras doenças infecciosas;Menor 1 ano;-
2016;Neoplasias malignas;Menor 1 ano;2
2016;Neoplasias [tumores] in situ;Menor 1 ano;-
2016;Neoplasias [tumores] benignas(os);Menor 1 ano;-
2016;Neopl de comportamento incerto ou desconhecido;Menor 1 ano;1
2016;Anemias nutricionais;Menor 1 ano;-
2016;Anemias hemolíticas;Menor 1 ano;-
2016;Anemias aplásticas e outras anemias;Menor 1 ano;-
2016;Defeitos coagulação, púrpura, outr afecç hemorrág;Menor 1 ano;1
2016;Outras doenças do sangue e órgãos hematopoéticos;Menor 1 ano;-
2016;Alguns transt q comprometem o mecanismo imunitário;Menor 1 ano;-
2016;Transtornos da glândula tireóide;Menor 1 ano;-
2016;Diabetes mellitus;Menor 1 ano;-
2016;Outr transt regulação glicose e secr pancreát int;Menor 1 ano;-
2016;Transtornos de outras glândulas endócrinas;Menor 1 ano;1
2016;Desnutrição;Menor 1 ano;2
2016;Obesidade e outras formas de hiperalimentação;Menor 1 ano;-
2016;Distúrbios metabólicos;Menor 1 ano;2
2016;Transtornos mentais orgânicos, incl sintomáticos;Menor 1 ano;-
2016;Transt ment e comport dev ao uso subst psicoativa;Menor 1 ano;-
2016;Esquizofrenia, transt esquizotípicos e delirantes;Menor 1 ano;-
2016;Transtornos do humor [afetivos];Menor 1 ano;-
2016;Transt neuróticos, relacion stress e somatoformes;Menor 1 ano;-
2016;Retardo mental;Menor 1 ano;-
2016;Transtornos do desenvolvimento psicológico;Menor 1 ano;-
2016;Transtorno mental não especificado;Menor 1 ano;-
2016;Doenças inflamatórias do sistema nervoso central;Menor 1 ano;-
2016;Atrofias sistêm q afetam princ o sist nerv central;Menor 1 ano;-
2016;Doenças extrapiramidais e transt dos movimentos;Menor 1 ano;-
2016;Outras doenças degenerativas do sistema nervoso;Menor 1 ano;-
2016;Doenças desmielinizantes do sist nervoso central;Menor 1 ano;-
2016;Transtornos episódicos e paroxísticos;Menor 1 ano;-
2016;Polineuropatias e outr transt sist nerv periférico;Menor 1 ano;-
2016;Doenças da junção mioneural e dos músculos;Menor 1 ano;-
2016;Paralisia cerebral e outras síndromes paralíticas;Menor 1 ano;1
2016;Outros transtornos do sistema nervoso;Menor 1 ano;5
2016;Transtornos do humor vítreo e do globo ocular;Menor 1 ano;-
2016;Doenças do ouvido médio e da mastóide;Menor 1 ano;1
2016;Doenças reumáticas crônicas do coração;Menor 1 ano;-
2016;Doenças hipertensivas;Menor 1 ano;-
2016;Doenças isquêmicas do coração;Menor 1 ano;-
2016;Doenças cardíaca pulmonar e da circulação pulmonar;Menor 1 ano;-
2016;Outras formas de doença do coração;Menor 1 ano;2
2016;Doenças cerebrovasculares;Menor 1 ano;3
2016;Doenças das artérias, das arteríolas e capilares;Menor 1 ano;-
2016;Doenças veias, vasos e gânglios linfáticos, NCOP;Menor 1 ano;-
2016;Infecções agudas das vias aéreas superiores;Menor 1 ano;-
2016;Influenza [gripe] e pneumonia;Menor 1 ano;7
2016;Outras infecções agudas das vias aéreas inferiores;Menor 1 ano;2
2016;Outras doenças das vias aéreas superiores;Menor 1 ano;-
2016;Doenças crônicas das vias aéreas inferiores;Menor 1 ano;1
2016;Doenças pulmonares devidas a agentes externos;Menor 1 ano;-
2016;Outras doenças respirat q afetam princ interstício;Menor 1 ano;1
2016;Afecções necróticas e supurat vias aéreas infer;Menor 1 ano;-
2016;Outras doenças da pleura;Menor 1 ano;-
2016;Outras doenças do aparelho respiratório;Menor 1 ano;-
2016;Doenças do esôfago, do estômago e do duodeno;Menor 1 ano;-
2016;Doenças do apêndice;Menor 1 ano;-
2016;Hérnias;Menor 1 ano;-
2016;Enterites e colites não-infecciosas;Menor 1 ano;-
2016;Outras doenças dos intestinos;Menor 1 ano;-
2016;Doenças do peritônio;Menor 1 ano;1
2016;Doenças do fígado;Menor 1 ano;1
2016;Transt vesícula biliar, vias biliares e pâncreas;Menor 1 ano;-
2016;Outras doenças do aparelho digestivo;Menor 1 ano;-
2016;Infecções da pele e do tecido subcutâneo;Menor 1 ano;-
2016;Afecções bolhosas;Menor 1 ano;-
2016;Dermatite e eczema;Menor 1 ano;-
2016;Afecções pápulo-descamativas;Menor 1 ano;-
2016;Urticária e eritema;Menor 1 ano;-
2016;Outras afecções da pele e do tecido subcutâneo;Menor 1 ano;-
2016;Artropatias;Menor 1 ano;-
2016;Doenças sistêmicas do tecido conjuntivo;Menor 1 ano;-
2016;Dorsopatias;Menor 1 ano;-
2016;Transtornos dos tecidos moles;Menor 1 ano;-
2016;Osteopatias e condropatias;Menor 1 ano;-
2016;Doenças glomerulares;Menor 1 ano;-
2016;Doenças renais túbulo-intersticiais;Menor 1 ano;1
2016;Insuficiência renal;Menor 1 ano;2
2016;Calculose renal;Menor 1 ano;-
2016;Outros transtornos do rim e do ureter;Menor 1 ano;-
2016;Outras doenças do aparelho urinário;Menor 1 ano;-
2016;Doenças dos órgãos genitais masculinos;Menor 1 ano;-
2016;Doenças da mama;Menor 1 ano;-
2016;Doenças inflamatórias órgãos pélvicos femininos;Menor 1 ano;-
2016;Transt não-inflamatórios do trato genital feminino;Menor 1 ano;-
2016;Gravidez que termina em aborto;Menor 1 ano;-
2016;Edema proteinúr e transt hipert gravid parto puerp;Menor 1 ano;-
2016;Assist à mãe mot feto cavid amniót e prob rel part;Menor 1 ano;-
2016;Complicações do trabalho de parto e do parto;Menor 1 ano;-
2016;Complicações relacionadas predom com o puerpério;Menor 1 ano;-
2016;Outras afecções obstétricas NCOP;Menor 1 ano;-
2016;Fet rec-nasc afet fat mat e compl grav, trab parto;Menor 1 ano;52
2016;Transt relac com a duração gestação e cresc fetal;Menor 1 ano;30
2016;Traumatismo de parto;Menor 1 ano;1
